batter,pitcher,hits,ab,hr,rbi,team,source_url
Aaron Judge,Brandon Pfaadt,3,3,2,5,NYY,https://www.espn.com/mlb/player/batvspitch/_/id/4721302/brandon-pfaadt
Braden Montgomery,Jackson Jobe,3,3,0,3,CWS,https://www.espn.com/mlb/player/batvspitch/_/id/4872647/jackson-jobe
Michael Busch,Nick Lodolo,3,4,0,0,CHC,https://www.statmuse.com/mlb/ask/michael-busch-vs-nick-lodolo
Zack Gelof,Tanner Bibee,4,6,0,0,ATH,https://www.espn.co.uk/mlb/player/batvspitch/_/id/4345278/tanner-bibee
Angel Martinez,Jacob Lopez,2,3,0,0,CLE,https://www.espn.co.uk/mlb/player/batvspitch/_/id/42239
James Wood,Michael McGreevy,2,3,0,0,WSH,https://www.espn.com/mlb/player/batvspitch/_/id/4424141/michael-mcgreevy
Victor Caratini,Reid Detmers,2,3,1,3,MIN,https://www.espn.com/mlb/player/batvspitch/_/id/4326697/reid-detmers
Wade Meckler,Joe Ryan,2,3,0,0,LAA,https://www.espn.com/mlb/player/batvspitch/_/id/42450/joe-ryan
Lawrence Butler,Tanner Bibee,5,8,0,2,ATH,https://www.espn.co.uk/mlb/player/batvspitch/_/id/4345278/tanner-bibee
Jackson Merrill,Eury Perez,3,5,0,1,SD,https://www.espn.com/mlb/player/batvspitch/_/id/4917854/eury-perez
Jake Burger,Jose Soriano,4,7,0,2,TEX,https://www.espn.co.uk/mlb/player/batvspitch/_/id/40973/jose-soriano
William Contreras,Trevor Rogers,4,7,0,4,MIL,https://www.espn.co.uk/mlb/player/batvspitch/_/id/39640/trevor-rogers
Wyatt Langford,Jose Soriano,4,8,0,3,TEX,https://www.espn.co.uk/mlb/player/batvspitch/_/id/40973/jose-soriano
Ke'Bryan Hayes,Matthew Boyd,3,6,0,1,CIN,https://www.espn.com/mlb/player/batvspitch/_/id/34401/matthew-boyd
Austin Martin,Reid Detmers,2,4,0,2,MIN,https://www.espn.com/mlb/player/batvspitch/_/id/4326697/reid-detmers
Bryce Harper,Christian Scott,2,4,1,2,PHI,https://www.espn.com/mlb/player/batvspitch/_/id/4414215/christian-scott
Zach Neto,Joe Ryan,5,11,0,1,LAA,https://www.espn.com/mlb/player/batvspitch/_/id/42450/joe-ryan
Isiah Kiner-Falefa,Freddy Peralta,4,9,0,0,BOS,https://www.espn.co.uk/mlb/player/batvspitch/_/id/39825/freddy-peralta
Colt Keith,Sean Burke,3,7,1,1,DET,https://www.espn.co.uk/mlb/player/batvspitch/_/id/4867679/sean-burke
Jarren Duran,Freddy Peralta,3,7,0,0,BOS,https://www.espn.co.uk/mlb/player/batvspitch/_/id/39825/freddy-peralta
Luis Garcia Jr.,Brandon Pfaadt,3,7,1,4,NYY,https://www.espn.com/mlb/player/batvspitch/_/id/4721302/brandon-pfaadt
Carson Kelly,Nick Lodolo,4,10,1,1,CHC,https://www.statmuse.com/mlb/ask/carson-kelly-vs-nick-lodolo-gamelog
Pete Crow-Armstrong,Nick Lodolo,4,10,0,2,CHC,https://www.espn.com/mlb/player/batvspitch/_/id/4717833/pete-crow-armstrong
Dillon Dingler,Sean Burke,2,5,0,1,DET,https://www.espn.co.uk/mlb/player/batvspitch/_/id/4867679/sean-burke
Ha-Seong Kim,Hayden Wesneski,2,5,0,0,ATL,https://www.espn.com/mlb/player/batvspitch/_/id/42996/hayden-wesneski
Jackson Chourio,Trevor Rogers,2,5,0,0,MIL,https://www.espn.co.uk/mlb/player/batvspitch/_/id/39640/trevor-rogers
Jose Trevino,Matthew Boyd,2,5,0,2,CIN,https://www.espn.com/mlb/player/batvspitch/_/id/34401/matthew-boyd
LaMonte Wade Jr.,Grant Holmes,2,5,0,0,HOU,https://www.espn.com/mlb/player/batvspitch/_/id/33840/grant-holmes
Otto Lopez,Casey Mize,2,5,0,0,MIA,https://www.espn.co.uk/mlb/player/batvspitch/_/id/41167
Xander Bogaerts,Eury Perez,2,5,0,0,SD,https://www.espn.com/mlb/player/batvspitch/_/id/4917854/eury-perez
Corey Seager,Jose Soriano,4,11,1,3,TEX,https://www.espn.co.uk/mlb/player/batvspitch/_/id/40973/jose-soriano
Nico Hoerner,Nick Lodolo,7,21,0,2,CHC,https://www.espn.com/mlb/player/batvspitch/_/id/41219/nico-hoerner
Seiya Suzuki,Nick Lodolo,6,18,0,4,CHC,https://www.statmuse.com/mlb/ask/seiya-suzuki-vs-nick-lodolo
Jesus Sanchez,Cam Schlittler,4,12,0,0,AZ,https://www.espn.com/mlb/player/batvspitch/_/id/5134581/cam-schlittler
Bryan De La Cruz,Christian Scott,2,6,0,0,PHI,https://www.espn.com/mlb/player/batvspitch/_/id/4414215/christian-scott
Matt Shaw,Nick Lodolo,2,6,1,2,CHC,https://www.espn.com/mlb/player/batvspitch/_/id/4867667/matt-shaw
Miguel Vargas,Jackson Jobe,2,6,0,0,CWS,https://www.espn.com/mlb/player/batvspitch/_/id/4872647/jackson-jobe
Ian Happ,Nick Lodolo,8,25,1,4,CHC,https://www.espn.com/mlb/player/batvspitch/_/id/34945/ian-happ
Bryan Reynolds,Michael Wacha,2,3,0,1,PIT,
Caleb Durbin,Griffin Jax,2,3,0,1,BOS,
Chandler Simpson,Patrick Sandoval,2,3,0,0,TB,
Christian Walker,Martín Pérez,2,3,0,0,HOU,
Josh Naylor,Tomoyuki Sugano,2,3,0,0,SEA,
Kyle Stowers,Walker Buehler,2,3,1,1,MIA,
Manny Machado,Sandy Alcantara,9,15,0,3,SD,
Lars Nootbaar,Will Warren,3,5,0,0,AZ,
Zach McKinstry,Davis Martin,3,5,0,2,DET,
Sam Antonacci,Troy Melton,4,8,1,1,CWS,
Austin Riley,Hunter Brown,3,6,0,1,ATL,
Taylor Ward,Tomoyuki Sugano,3,6,0,2,SEA,
Tristan Peters,Troy Melton,3,6,0,0,CWS,
Willson Contreras,Griffin Jax,2,4,2,4,BOS,
Ronald Acuña Jr.,Hunter Brown,4,9,0,0,ATL,
Xander Bogaerts,Sandy Alcantara,6,14,1,2,SD,
Alec Burleson,Jake Irvin,3,7,1,2,STL,
Nick Fortes,Patrick Sandoval,3,7,1,2,TB,
Riley Greene,Davis Martin,5,12,0,1,DET,
José Caballero,Corbin Burnes,4,10,0,1,NYY,
Dominic Smith,Hunter Brown,2,5,0,0,ATL,
J.P. Crawford,Tomoyuki Sugano,2,5,0,0,SEA,
Seiya Suzuki,Rhett Lowder,2,5,0,0,CHC,
Vladimir Guerrero Jr.,Jacob deGrom,3,8,0,1,TOR,
Juan Soto,Cristopher Sánchez,6,17,0,0,NYM,
Mark Vientos,Cristopher Sánchez,6,17,2,6,NYM,
Chase Meidroth,Troy Melton,2,6,0,0,CWS,
Trevor Story,Griffin Jax,2,6,0,0,BOS,
